node,row,col,latitude,longitude,chi,elevation,flow_distance,drainage_area,m_chi,b_chi,source_key,basin_key,segmented_elevation,segment_number
30616097,4387,3803,37.96287,-122.687278,104.58,471.52,12748.0,2052.0,3.5871,99.454,592,23,474.6,2060
30622348,4388,3802,37.9628431,-122.687313,104.21,471.16,12744.0,2601.0,3.5871,99.454,592,23,473.27,2060
30622347,4388,3801,37.9628432,-122.687347,103.97,470.73,12741.0,2646.0,3.5871,99.454,592,23,472.4,2060
30622346,4388,3800,37.9628433,-122.687381,103.73,470.26,12738.0,2880.0,3.5871,99.454,592,23,471.54,2060
30622345,4388,3799,37.9628433,-122.687415,103.49,469.64,12735.0,2916.0,3.5871,99.454,592,23,470.7,2060
30622344,4388,3798,37.9628434,-122.687449,103.26,468.95,12732.0,2961.0,3.5871,99.454,592,23,469.86,2060
30622343,4388,3797,37.9628435,-122.687483,103.03,468.1,12729.0,3015.0,3.5871,99.454,592,23,469.03,2060
30622342,4388,3796,37.9628436,-122.687517,102.8,467.35,12726.0,3078.0,3.5871,99.454,592,23,468.2,2060
30622341,4388,3795,37.9628437,-122.687552,102.57,466.82,12723.0,3195.0,3.5871,99.454,592,23,467.37,2060
30616088,4387,3794,37.9628708,-122.687586,102.25,466.19,12719.0,4221.0,3.5871,99.454,592,23,466.22,2060
30616087,4387,3793,37.9628709,-122.68762,102.04,465.63,12716.0,4266.0,3.5871,99.454,592,23,465.48,2060
30616086,4387,3792,37.962871,-122.687654,101.83,464.67,12713.0,4599.0,3.5871,99.454,592,23,464.74,2060
30616085,4387,3791,37.9628711,-122.687688,101.63,463.82,12710.0,4716.0,3.5871,99.454,592,23,464.01,2060
30616084,4387,3790,37.9628712,-122.687722,101.43,463.26,12707.0,4869.0,3.5871,99.454,592,23,463.29,2060
30616083,4387,3789,37.9628713,-122.687756,101.23,462.87,12704.0,5013.0,3.5871,99.454,592,23,462.58,2060
30616082,4387,3788,37.9628714,-122.687791,101.03,462.28,12701.0,5031.0,3.5871,99.454,592,23,461.88,2060
30616081,4387,3787,37.9628715,-122.687825,100.84,461.63,12698.0,7668.0,3.5871,99.454,592,23,461.17,2060
30609826,4386,3786,37.9628986,-122.687859,100.6,460.94,12694.0,8073.0,3.5871,99.454,592,23,460.31,2060
30603571,4385,3785,37.9629257,-122.687893,100.36,460.38,12689.0,8631.0,3.5871,99.454,592,23,459.45,2060
30603570,4385,3784,37.9629258,-122.687927,100.19,460.02,12686.0,9054.0,3.5871,99.454,592,23,458.86,2060
30603569,4385,3783,37.9629259,-122.687961,100.03,459.75,12683.0,9378.0,3.5871,99.454,592,23,458.28,2060
30597314,4384,3782,37.962953,-122.687995,99.803,459.2,12679.0,9594.0,3.5871,99.454,592,23,457.46,2060
30597313,4384,3781,37.9629531,-122.688029,99.644,458.67,12676.0,9747.0,3.5871,99.454,592,23,456.89,2060
30597312,4384,3780,37.9629532,-122.688063,99.485,458.23,12673.0,9855.0,3.5871,99.454,592,23,456.32,2060
30591056,4383,3779,37.9629803,-122.688097,99.261,457.42,12669.0,10278.0,3.5871,99.454,592,23,455.52,2060
30591055,4383,3778,37.9629804,-122.688132,99.105,456.58,12666.0,10503.0,3.5871,99.454,592,23,454.96,2060
30591054,4383,3777,37.9629805,-122.688166,98.95,455.72,12663.0,10521.0,3.5871,99.454,592,23,454.4,2060
30591053,4383,3776,37.9629806,-122.6882,98.795,454.75,12660.0,10548.0,3.5871,99.454,592,23,453.84,2060
30591052,4383,3775,37.9629807,-122.688234,98.64,453.78,12657.0,10683.0,3.5871,99.454,592,23,453.29,2060
30591051,4383,3774,37.9629808,-122.688268,98.486,452.8,12654.0,11178.0,3.5871,99.454,592,23,452.74,2060
30591050,4383,3773,37.9629809,-122.688302,98.334,452.34,12651.0,11664.0,3.5871,99.454,592,23,452.19,2060
30597304,4384,3772,37.9629539,-122.688337,98.122,452.34,12647.0,12222.0,3.5871,99.454,592,23,451.43,2061
30591048,4383,3771,37.9629811,-122.688371,97.914,452.34,12642.0,12330.0,3.5871,99.454,592,23,450.68,2061
30584791,4382,3770,37.9630082,-122.688405,97.705,452.23,12638.0,12348.0,3.5871,99.454,592,23,449.93,2061
30584790,4382,3769,37.9630083,-122.688439,97.558,451.32,12635.0,12366.0,3.5871,99.454,592,23,449.41,2061
30584789,4382,3768,37.9630084,-122.688473,97.411,450.39,12632.0,12393.0,3.5871,99.454,592,23,448.88,2061
30584788,4382,3767,37.9630085,-122.688507,97.264,449.34,12629.0,12420.0,3.5871,99.454,592,23,448.35,2061
30584787,4382,3766,37.9630086,-122.688541,97.117,448.2,12626.0,12456.0,3.5871,99.454,592,23,447.83,2061
30584786,4382,3765,37.9630087,-122.688576,96.97,447.14,12623.0,12501.0,3.5871,99.454,592,23,447.3,2061
30584785,4382,3764,37.9630087,-122.68861,96.824,446.35,12620.0,13095.0,3.5871,99.454,592,23,446.77,2061
30591040,4383,3763,37.9629818,-122.688644,96.62,445.52,12616.0,13230.0,3.5871,99.454,592,23,446.04,2061
30597294,4384,3762,37.9629548,-122.688678,96.416,444.49,12612.0,13635.0,3.5871,99.454,592,23,445.31,2061
30597293,4384,3761,37.9629549,-122.688712,96.273,443.6,12609.0,13869.0,3.5871,99.454,592,23,444.8,2061
30597292,4384,3760,37.962955,-122.688746,96.132,443.13,12606.0,13896.0,3.5871,99.454,592,23,444.29,2061
30597291,4384,3759,37.9629551,-122.688781,95.99,442.75,12603.0,21159.0,3.5871,99.454,592,23,443.78,2061
30603544,4385,3758,37.9629282,-122.688815,95.815,442.11,12598.0,21591.0,3.5871,99.454,592,23,443.15,2061
30609797,4386,3757,37.9629012,-122.688849,95.641,440.72,12594.0,21636.0,3.5871,99.454,592,23,442.53,2061
30609796,4386,3756,37.9629013,-122.688883,95.518,439.5,12591.0,21645.0,3.5871,99.454,592,23,442.09,2061
30616049,4387,3755,37.9628744,-122.688918,95.344,438.98,12587.0,21654.0,3.5871,99.454,592,23,441.46,2061
30622300,4388,3754,37.9628474,-122.688952,95.17,437.9,12583.0,22608.0,3.5871,99.454,592,23,440.84,2061
30628551,4389,3753,37.9628205,-122.688986,94.998,436.38,12579.0,22671.0,7.9731,-322.74,592,23,434.69,2062
30634802,4390,3753,37.9627934,-122.688986,94.877,435.14,12576.0,22680.0,7.9731,-322.74,592,23,433.72,2062
30641053,4391,3753,37.9627664,-122.688986,94.756,433.42,12573.0,23139.0,7.9731,-322.74,592,23,432.76,2062
30647302,4392,3752,37.9627394,-122.689021,94.586,431.47,12568.0,23211.0,7.9731,-322.74,592,23,431.4,2062
