X,Y,i,j,hilltop_id,Cht,S,R,Lh,BasinID,a,b,StreamID,HilltopSlope,DivergentCount,PlanarCountFlag,E_Star,R_Star,EucDist
521072,4173150.0,1970,1671,3,-0.00516694,0.129812,26.9798,207.837,6857,2031,1675,513,0.0268643,7,81,2.68471,0.162265,183.653
521072,4173150.0,1971,1671,3,-0.00673305,0.131089,26.9309,205.441,6857,2031,1675,513,0.0235347,7,80,3.45811,0.163861,180.661
521072,4173160.0,1974,1671,2,-0.00104295,0.134681,26.7043,198.278,6857,2031,1675,513,0.0172978,7,77,0.516985,0.168351,171.688
521078,4173160.0,1975,1673,3,-0.00456273,0.139234,26.593,190.995,6857,2031,1675,513,0.0232043,7,74,2.17864,0.174043,168.324
521082,4173170.0,1978,1674,3,-0.00194309,0.144915,26.5003,182.868,6857,2031,1675,513,0.00798491,7,70,0.888323,0.181144,159.22
521090,4173170.0,1978,1677,3,-0.00191106,0.149676,26.4151,176.482,6857,2031,1675,513,0.00563374,7,67,0.843169,0.187095,159.22
521084,4173180.0,1979,1675,2,-0.00189402,0.149,26.4197,177.313,6857,2031,1675,513,0.0168311,7,68,0.839588,0.18625,156.155
521094,4173180.0,1979,1678,3,-0.00259897,0.153788,26.3861,171.574,6857,2031,1675,513,0.0102772,7,65,1.11479,0.192235,156.336
521096,4173180.0,1979,1679,3,-0.00320457,0.154833,26.3896,170.439,6857,2031,1675,513,0.0110409,7,64,1.36546,0.193541,156.509
521100,4173180.0,1979,1680,3,-0.00557371,0.155016,26.361,170.053,6857,2031,1675,513,0.0028876,7,65,2.36957,0.19377,156.739
521102,4173180.0,1980,1681,3,-0.0101576,0.157305,26.4035,167.849,6857,2031,1675,513,0.0104636,7,63,4.26235,0.196632,154.185
521090,4173180.0,1981,1677,2,-0.00464969,0.160702,26.3624,164.045,6857,2031,1675,513,0.00399799,7,60,1.90689,0.200878,149.054
521094,4173180.0,1981,1678,2,-0.00115318,0.158175,26.3202,166.399,6857,2031,1675,513,0.00919325,7,63,0.479719,0.197719,150.335
521102,4173180.0,1981,1681,3,-0.0010108,0.160448,26.323,164.059,6857,2031,1675,513,0.020115,7,64,0.414576,0.200561,151.224
521106,4173180.0,1981,1682,3,-0.00974889,0.159717,26.4007,165.297,6857,2031,1675,513,0.0125182,7,65,4.02864,0.199647,151.58
521090,4173190.0,1982,1677,2,-0.0102774,0.166801,28.0765,168.324,6857,2034,1673,513,0.0148426,4,65,4.32484,0.208501,154.919
521094,4173190.0,1982,1678,2,-0.00998258,0.164809,26.3578,159.929,6857,2031,1675,513,0.0112914,7,58,3.99126,0.206011,146.447
521108,4173190.0,1982,1683,3,-0.0129351,0.162543,26.4166,162.521,6857,2031,1675,513,0.0140952,7,63,5.25557,0.203179,149.555
521112,4173190.0,1982,1684,3,-0.00387543,0.154636,25.0804,162.19,6857,2030,1675,513,0.00195857,6,64,1.57139,0.193295,145.018
521090,4173190.0,1983,1677,2,-0.00468263,0.1689,26.6395,157.723,6857,2032,1674,513,0.0286411,3,62,1.8464,0.211126,148.373
521094,4173190.0,1983,1678,2,-0.00890192,0.167451,26.2801,156.943,6857,2031,1675,513,0.0242388,7,57,3.49273,0.209313,143.266
521112,4173190.0,1983,1684,3,-0.00485021,0.15805,25.0748,158.651,6857,2030,1675,513,0.0172461,6,61,1.92373,0.197563,142.617
521114,4173190.0,1983,1685,3,-0.00334211,0.156426,25.0573,160.186,6857,2030,1675,513,0.0127126,6,62,1.3384,0.195532,143.425
521118,4173190.0,1983,1686,3,-0.00406223,0.15391,25.1098,163.146,6857,2030,1675,513,0.0111951,6,63,1.65684,0.192387,144.064
521120,4173190.0,1983,1687,3,-0.00541102,0.15103,25.1685,166.645,6857,2030,1675,513,0.00874376,6,64,2.25431,0.188788,144.68
521088,4173190.0,1984,1676,2,-0.00390123,0.177714,31.266,175.934,6857,2038,1672,513,0.0290646,3,68,1.7159,0.222143,161.764
521090,4173190.0,1984,1677,2,-0.000697514,0.171825,26.5167,154.324,6857,2032,1674,513,0.033969,5,59,0.269107,0.214782,142.809
521124,4173190.0,1984,1688,3,-0.00416255,0.162535,25.1237,154.574,6857,2030,1675,513,0.00582101,8,60,1.60856,0.203169,142.229
