X,Y,i,j,hilltop_id,Cht,S,R,Lh,BasinID,a,b,StreamID,HilltopSlope,DivergentCount,PlanarCountFlag,E_Star,R_Star,EucDist
526352,4179210.0,3989,3431,3,-0.0335596,0.168072,10.8386,64.4877,13740,4010,3435,1897,0.0144951,7,21,5.41046,0.21009,65.3491
526356,4179210.0,3989,3432,3,-0.0308175,0.166998,10.7909,64.6168,13740,4010,3435,1897,0.0402405,7,26,4.97833,0.208748,64.9346
526358,4179210.0,3989,3433,3,-0.0118801,0.113631,10.6007,93.2907,13740,4010,3435,1897,0.0661779,7,35,2.77076,0.142039,64.515
526350,4179210.0,3990,3430,3,-0.0248012,0.171547,10.6686,62.1908,13740,4010,3435,1897,0.0396565,10,20,3.85602,0.214433,62.9643
526352,4179210.0,3990,3431,3,-0.0182924,0.172883,10.6089,61.3649,13740,4010,3435,1897,0.0669066,7,20,2.80627,0.216103,62.3899
526362,4179210.0,3990,3434,3,-0.014401,0.164335,10.2718,62.5054,13740,4010,3435,1897,0.0730624,2,24,2.25035,0.205419,58.6728
526364,4179210.0,3990,3435,3,-0.00481117,0.134941,10.0705,74.6284,13740,4010,3435,1897,0.0728929,7,26,0.897625,0.168677,61.3784
526346,4179210.0,3991,3429,3,-0.0189861,0.17546,10.503,59.8597,13740,4010,3435,1897,0.0402765,8,20,2.84126,0.219325,60.7824
526364,4179210.0,3991,3435,3,-0.000172233,0.172276,9.92593,57.6166,13740,4010,3435,1897,0.0702195,2,22,0.0248087,0.215344,55.5203
526370,4179210.0,3991,3437,3,-0.0139552,0.121358,9.74585,80.3066,13740,4010,3435,1897,0.0528377,7,29,2.80175,0.151697,58.8379
526340,4179220.0,3992,3427,3,-0.00994058,0.172567,10.3431,59.9367,13740,4010,3435,1897,0.00998522,7,22,1.48951,0.215709,59.8874
526344,4179220.0,3992,3428,3,-0.0215939,0.179005,10.425,58.2386,13740,4010,3435,1897,0.0457626,7,21,3.144,0.223756,58.826
526346,4179220.0,3992,3429,3,-0.0185629,0.182302,10.3721,56.8953,13740,4010,3435,1897,0.0696668,8,19,2.64035,0.227878,57.9008
526370,4179220.0,3992,3437,3,-0.0222847,0.169526,9.64273,56.8805,13740,4010,3435,1897,0.0743201,4,21,3.16891,0.211908,55.8796
526374,4179220.0,3992,3438,3,-0.0328918,0.128166,9.48389,73.997,13740,4010,3435,1897,0.101753,7,25,6.08474,0.160207,56.3449
526334,4179220.0,3993,3425,3,-0.0180239,0.168854,10.5511,62.4866,13740,4010,3435,1897,0.0402169,7,23,2.81564,0.211068,59.7369
526338,4179220.0,3993,3426,3,-0.0173953,0.177116,10.4402,58.9452,13740,4010,3435,1897,0.0412177,7,22,2.56342,0.221395,58.3652
526340,4179220.0,3993,3427,3,-0.010698,0.180654,10.2834,56.923,13740,4010,3435,1897,0.0584108,7,21,1.52241,0.225817,57.1183
526344,4179220.0,3993,3428,3,-0.0133076,0.184295,10.2126,55.4146,13740,4010,3435,1897,0.0897442,7,20,1.8436,0.230368,56.0045
526374,4179220.0,3993,3438,3,-0.0176459,0.170372,9.15115,53.7127,13740,4010,3435,1897,0.126728,3,20,2.36952,0.212965,53.4162
526376,4179220.0,3993,3439,3,-0.0118418,0.13212,8.94382,67.6946,13740,4010,3435,1897,0.123354,7,23,2.00406,0.16515,54.0703
526326,4179220.0,3994,3422,3,-0.0223577,0.172105,10.7692,62.5733,13740,4010,3435,1897,0.0172374,0,28,3.49749,0.215131,60.1492
526328,4179220.0,3994,3423,3,-0.0258479,0.1714,10.7607,62.7812,13740,4010,3435,1897,0.0232334,3,26,4.05691,0.21425,59.7369
526332,4179220.0,3994,3424,3,-0.028552,0.177075,10.6856,60.3451,13740,4010,3435,1897,0.0407348,5,25,4.30744,0.221344,58.6728
526334,4179220.0,3994,3425,3,-0.0269946,0.180906,10.5461,58.2957,13740,4010,3435,1897,0.0690313,6,23,3.93417,0.226133,57.1183
526338,4179220.0,3994,3426,3,-0.0199065,0.183706,10.3357,56.2618,13740,4010,3435,1897,0.094042,6,22,2.79995,0.229633,55.6821
526388,4179220.0,3994,3443,3,-0.000707304,0.130744,7.87695,60.2473,13740,4010,3435,1897,0.0412731,7,20,0.106533,0.163429,55.5559
526322,4179220.0,3995,3421,3,-0.0153977,0.222961,13.6228,61.0995,13740,4014,3429,1897,0.0349495,2,24,2.35197,0.278701,60.7096
526326,4179220.0,3995,3422,3,-0.0118112,0.176497,10.3568,58.6799,13740,4010,3434,1897,0.0575679,0,26,1.7327,0.220621,57.2617
526392,4179220.0,3995,3444,3,-0.00248753,0.138023,7.70255,55.8064,13740,4010,3435,1897,0.047687,7,18,0.347051,0.172528,54.4179
526316,4179230.0,3996,3419,3,-0.0263238,0.224887,18.4242,81.9263,13740,4020,3424,1897,0.0549234,16,20,5.39152,0.281109,71.9173
526320,4179230.0,3996,3420,3,-0.0305717,0.254023,18.5951,73.2026,13740,4020,3424,1897,0.050353,12,15,5.59482,0.317528,71.5587
