node,row,col,latitude,longitude,chi,elevation,flow_distance,drainage_area,m_chi,b_chi,source_key,basin_key,segmented_elevation,segment_number
34693250,5054,4499,37.9447698,-122.663591,78.321,457.57,8013.6,990.0,8.6844,-213.68,834,29,466.49,2890
34699134,5055,4499,37.9447428,-122.663591,77.991,456.42,8010.6,3618.0,8.6844,-213.68,834,29,463.62,2890
34705018,5056,4498,37.9447158,-122.663625,77.683,455.04,8006.3,3717.0,8.6844,-213.68,834,29,460.95,2890
34710902,5057,4497,37.9446889,-122.66366,77.378,453.72,8002.1,3807.0,8.6844,-213.68,834,29,458.29,2890
34716787,5058,4497,37.9446618,-122.66366,77.163,452.4,7999.1,6399.0,8.6844,-213.68,834,29,456.43,2890
34722671,5059,4496,37.9446349,-122.663694,76.906,450.81,7994.8,6498.0,8.6844,-213.68,834,29,454.2,2890
34728555,5060,4495,37.9446079,-122.663728,76.651,449.54,7990.6,6759.0,8.6844,-213.68,834,29,451.98,2890
34734440,5061,4494,37.944581,-122.663762,76.398,448.2,7986.3,8100.0,8.6844,-213.68,834,29,449.79,2890
34740325,5062,4493,37.9445541,-122.663797,76.16,447.56,7982.1,8226.0,8.6844,-213.68,834,29,447.72,2890
34746211,5063,4493,37.944527,-122.663797,75.992,447.09,7979.1,8388.0,8.6844,-213.68,834,29,446.26,2890
34752096,5064,4492,37.9445001,-122.663831,75.757,446.32,7974.9,8649.0,8.6844,-213.68,834,29,444.22,2890
34757981,5065,4491,37.9444731,-122.663865,75.524,445.4,7970.6,9333.0,8.6844,-213.68,834,29,442.19,2890
34763867,5066,4491,37.9444461,-122.663866,75.363,443.81,7967.6,9513.0,8.6844,-213.68,834,29,440.8,2890
34769752,5067,4490,37.9444192,-122.6639,75.137,441.69,7963.4,9549.0,8.6844,-213.68,834,29,438.83,2890
34775639,5068,4490,37.9443921,-122.6639,74.977,440.5,7960.4,9954.0,8.6844,-213.68,834,29,437.44,2890
34781525,5069,4489,37.9443652,-122.663934,74.754,438.8,7956.1,10287.0,8.6844,-213.68,834,29,435.51,2890
34787411,5070,4488,37.9443382,-122.663968,74.533,437.53,7951.9,10422.0,8.6844,-213.68,834,29,433.59,2890
34793298,5071,4488,37.9443112,-122.663969,74.378,436.31,7948.9,10656.0,8.6844,-213.68,834,29,432.24,2890
34799185,5072,4488,37.9442842,-122.663969,74.223,435.51,7945.9,10836.0,8.6844,-213.68,834,29,430.9,2890
34805071,5073,4487,37.9442572,-122.664003,74.006,433.9,7941.6,11286.0,8.6844,-213.68,834,29,429.02,2890
34810958,5074,4487,37.9442302,-122.664003,73.855,432.49,7938.6,11367.0,8.6844,-213.68,834,29,427.7,2890
34816845,5075,4487,37.9442032,-122.664003,73.704,431.35,7935.6,11385.0,8.6844,-213.68,834,29,426.39,2890
34822732,5076,4487,37.9441761,-122.664003,73.553,430.18,7932.6,11538.0,8.6844,-213.68,834,29,425.08,2890
34828618,5077,4486,37.9441492,-122.664038,73.34,427.88,7928.4,11646.0,8.6844,-213.68,834,29,423.23,2890
34834504,5078,4485,37.9441222,-122.664072,73.128,425.8,7924.2,11691.0,8.6844,-213.68,834,29,421.39,2890
34840390,5079,4484,37.9440953,-122.664106,72.916,423.48,7919.9,11754.0,8.6844,-213.68,834,29,419.55,2890
34846276,5080,4484,37.9440683,-122.664106,72.767,422.27,7916.9,11979.0,8.6844,-213.68,834,29,418.25,2890
34852162,5081,4484,37.9440412,-122.664106,72.618,420.63,7913.9,11997.0,8.6844,-213.68,834,29,416.96,2890
34858048,5082,4483,37.9440143,-122.664141,72.408,417.87,7909.7,12123.0,8.6844,-213.68,834,29,415.14,2891
34863934,5083,4482,37.9439873,-122.664175,72.199,415.11,7905.4,12267.0,8.6844,-213.68,834,29,413.32,2891
34869821,5084,4481,37.9439604,-122.664209,71.99,411.79,7901.2,12501.0,8.6844,-213.68,834,29,411.51,2891
34875710,5085,4481,37.9439334,-122.664209,71.844,409.42,7898.2,12582.0,8.6844,-213.68,834,29,410.23,2891
34881577,5086,4480,37.9439064,-122.664244,71.637,406.46,7893.9,12807.0,8.6844,-213.68,834,29,408.44,2891
34887435,5087,4479,37.9438795,-122.664278,71.431,403.85,7889.7,12969.0,8.6844,-213.68,834,29,406.65,2891
34893279,5088,4478,37.9438525,-122.664312,71.226,401.55,7885.5,13149.0,8.6844,-213.68,834,29,404.87,2891
34899118,5089,4478,37.9438255,-122.664312,71.082,400.98,7882.5,13716.0,8.6844,-213.68,834,29,403.62,2891
34904953,5090,4478,37.9437985,-122.664312,70.94,400.95,7879.5,13860.0,8.6844,-213.68,834,29,402.38,2891
34910784,5091,4477,37.9437715,-122.664347,70.739,400.66,7875.2,13869.0,8.6844,-213.68,834,29,400.64,2891
34916613,5092,4476,37.9437446,-122.664381,70.538,398.44,7871.0,13878.0,8.6844,-213.68,834,29,398.9,2891
34922436,5093,4475,37.9437176,-122.664415,70.338,395.34,7866.7,13932.0,8.6844,-213.68,834,29,397.16,2891
34928237,5094,4475,37.9436906,-122.664415,70.196,393.5,7863.7,14013.0,8.6844,-213.68,834,29,395.93,2891
34934035,5095,4475,37.9436636,-122.664415,70.055,392.19,7860.7,14517.0,8.6844,-213.68,834,29,394.7,2891
34939824,5096,4474,37.9436366,-122.66445,69.857,390.14,7856.5,14760.0,8.6844,-213.68,834,29,392.99,2891
34945610,5097,4474,37.9436096,-122.66445,69.718,389.03,7853.5,15480.0,8.6844,-213.68,834,29,391.78,2891
34951393,5098,4473,37.9435826,-122.664484,69.525,387.66,7849.2,26298.0,8.6844,-213.68,834,29,390.1,2891
34957175,5099,4473,37.9435556,-122.664484,69.409,386.78,7846.2,26487.0,8.6844,-213.68,834,29,389.09,2891
34962958,5100,4473,37.9435286,-122.664484,69.294,385.72,7843.2,26541.0,8.6844,-213.68,834,29,388.09,2891
34968740,5101,4473,37.9435015,-122.664484,69.179,384.75,7840.2,26586.0,8.6844,-213.68,834,29,387.09,2891
34974519,5102,4473,37.9434745,-122.664485,69.064,383.93,7837.2,27072.0,8.6844,-213.68,834,29,386.09,2891
34980305,5103,4474,37.9434473,-122.664451,68.902,383.11,7833.0,27270.0,8.6844,-213.68,834,29,384.69,2891
34986085,5104,4474,37.9434203,-122.664451,68.788,382.4,7830.0,38772.0,8.6844,-213.68,834,29,383.69,2891
34991864,5105,4474,37.9433933,-122.664451,68.686,382.17,7827.0,39078.0,8.6844,-213.68,834,29,382.81,2891
34997641,5106,4474,37.9433662,-122.664451,68.584,382.17,7824.0,39240.0,8.6844,-213.68,834,29,381.92,2891
35003414,5107,4474,37.9433392,-122.664451,68.482,382.05,7821.0,39249.0,8.6844,-213.68,834,29,381.04,2891
35009184,5108,4474,37.9433121,-122.664451,68.38,381.28,7818.0,39348.0,8.6844,-213.68,834,29,380.16,2891
35014952,5109,4474,37.9432851,-122.664451,68.279,380.16,7815.0,39456.0,8.6844,-213.68,834,29,379.28,2891
35020716,5110,4473,37.9432582,-122.664486,68.135,378.43,7810.8,39546.0,2.6757,195.09,834,29,377.4,2892
35026479,5111,4473,37.9432311,-122.664486,68.034,377.72,7807.8,39726.0,2.6757,195.09,834,29,377.13,2892
35032240,5112,4473,37.9432041,-122.664486,67.933,376.82,7804.8,39906.0,2.6757,195.09,834,29,376.86,2892
35037999,5113,4473,37.9431771,-122.664486,67.832,376.6,7801.8,40014.0,2.6757,195.09,834,29,376.59,2892
35043755,5114,4472,37.9431501,-122.66452,67.689,375.85,7797.5,40176.0,2.6757,195.09,834,29,376.21,2892
35049508,5115,4471,37.9431232,-122.664554,67.546,375.24,7793.3,40437.0,2.6757,195.09,834,29,375.83,2892
35055260,5116,4471,37.9430961,-122.664555,67.445,375.01,7790.3,40527.0,2.6757,195.09,834,29,375.56,2892
35061009,5117,4470,37.9430692,-122.664589,67.303,374.62,7786.0,40590.0,2.6757,195.09,834,29,375.18,2892
35066756,5118,4470,37.9430422,-122.664589,67.202,373.85,7783.0,40716.0,2.6757,195.09,834,29,374.91,2892
35072503,5119,4470,37.9430151,-122.664589,67.102,373.75,7780.0,56223.0,2.6757,195.09,834,29,374.64,2892
35078241,5120,4471,37.942988,-122.664555,66.974,373.75,7775.8,56304.0,2.6757,195.09,834,29,374.3,2892
35083978,5121,4472,37.9429608,-122.664521,66.846,373.75,7771.5,56421.0,2.6757,195.09,834,29,373.95,2892
35089712,5122,4473,37.9429337,-122.664487,66.718,373.75,7767.3,73719.0,2.6757,195.09,834,29,373.61,2892
35095441,5123,4472,37.9429068,-122.664521,66.6,373.75,7763.1,73962.0,2.6757,195.09,834,29,373.3,2892
35101165,5124,4473,37.9428796,-122.664487,66.483,373.75,7758.8,74178.0,2.6757,195.09,834,29,372.98,2892
35106888,5125,4473,37.9428526,-122.664487,66.4,373.75,7755.8,74187.0,2.6757,195.09,834,29,372.76,2892
35112616,5126,4473,37.9428256,-122.664487,66.317,372.46,7752.8,74205.0,2.6757,195.09,834,29,372.54,2892
35118343,5127,4472,37.9427986,-122.664522,66.2,369.69,7748.6,74232.0,16.001,-689.87,834,29,369.38,2893
35124070,5128,4472,37.9427716,-122.664522,66.117,367.83,7745.6,74556.0,16.001,-689.87,834,29,368.05,2893
35129796,5129,4472,37.9427445,-122.664522,66.034,366.45,7742.6,74745.0,16.001,-689.87,834,29,366.72,2893
35135521,5130,4472,37.9427175,-122.664522,65.952,365.19,7739.6,76149.0,16.001,-689.87,834,29,365.4,2893
35141246,5131,4472,37.9426905,-122.664522,65.869,364.4,7736.6,76968.0,16.001,-689.87,834,29,364.09,2893
35146969,5132,4471,37.9426635,-122.664556,65.753,363.13,7732.3,77058.0,16.001,-689.87,834,29,362.23,2893
35152694,5133,4471,37.9426365,-122.664557,65.671,361.99,7729.3,77238.0,16.001,-689.87,834,29,360.92,2893
35158418,5134,4470,37.9426095,-122.664591,65.556,360.03,7725.1,77463.0,16.001,-689.87,834,29,359.07,2893
35164142,5135,4470,37.9425825,-122.664591,65.474,358.8,7722.1,77832.0,16.001,-689.87,834,29,357.76,2893
35169864,5136,4469,37.9425556,-122.664625,65.358,357.27,7717.8,78057.0,16.001,-689.87,834,29,355.91,2893
35175586,5137,4469,37.9425285,-122.664625,65.277,355.78,7714.8,78966.0,16.001,-689.87,834,29,354.61,2893
35181307,5138,4468,37.9425016,-122.66466,65.162,353.79,7710.6,78975.0,16.001,-689.87,834,29,352.77,2893
35187028,5139,4467,37.9424746,-122.664694,65.047,351.47,7706.4,79416.0,16.001,-689.87,834,29,350.93,2893
35192748,5140,4467,37.9424476,-122.664694,64.966,350.17,7703.4,79704.0,16.001,-689.87,834,29,349.63,2893
35198467,5141,4466,37.9424207,-122.664728,64.851,347.71,7699.1,79731.0,16.001,-689.87,834,29,347.8,2893
35204185,5142,4466,37.9423936,-122.664728,64.77,345.79,7696.1,80334.0,16.001,-689.87,834,29,346.5,2893
35209897,5143,4465,37.9423667,-122.664763,64.656,343.76,7691.9,80478.0,16.001,-689.87,834,29,344.67,2893
35215598,5144,4465,37.9423396,-122.664763,64.575,342.56,7688.9,81792.0,16.001,-689.87,834,29,343.38,2893
35221297,5145,4464,37.9423127,-122.664797,64.462,340.83,7684.6,81828.0,16.001,-689.87,834,29,341.56,2893
35226996,5146,4463,37.9422858,-122.664831,64.348,338.99,7680.4,83934.0,16.001,-689.87,834,29,339.74,2893
35232694,5147,4462,37.9422588,-122.664866,64.235,337.37,7676.1,84114.0,16.001,-689.87,834,29,337.94,2893
35238392,5148,4462,37.9422318,-122.664866,64.156,335.97,7673.1,84951.0,16.001,-689.87,834,29,336.67,2893
35244089,5149,4461,37.9422048,-122.6649,64.043,333.82,7668.9,85518.0,16.001,-689.87,834,29,334.87,2893
35249785,5150,4460,37.9421779,-122.664934,63.931,332.0,7664.7,85554.0,16.001,-689.87,834,29,333.08,2893
35255480,5151,4460,37.9421509,-122.664934,63.852,330.74,7661.7,85842.0,16.001,-689.87,834,29,331.81,2893
35261173,5152,4459,37.9421239,-122.664969,63.74,328.98,7657.4,87561.0,16.001,-689.87,834,29,330.02,2893
35266865,5153,4458,37.942097,-122.665003,63.629,327.23,7653.2,88173.0,16.001,-689.87,834,29,328.24,2893
35272558,5154,4458,37.9420699,-122.665003,63.551,325.79,7650.2,88911.0,16.001,-689.87,834,29,326.98,2893
35278249,5155,4457,37.942043,-122.665037,63.44,324.5,7645.9,89388.0,16.001,-689.87,834,29,325.21,2894
35283939,5156,4457,37.942016,-122.665037,63.362,323.05,7642.9,90225.0,16.001,-689.87,834,29,323.96,2894
35289629,5157,4457,37.9419889,-122.665038,63.284,321.7,7639.9,92178.0,16.001,-689.87,834,29,322.72,2894
35295318,5158,4457,37.9419619,-122.665038,63.207,320.75,7636.9,92745.0,16.001,-689.87,834,29,321.48,2894
35301004,5159,4456,37.9419349,-122.665072,63.097,319.44,7632.7,93105.0,16.001,-689.87,834,29,319.73,2894
35306690,5160,4456,37.9419079,-122.665072,63.02,318.2,7629.7,93492.0,16.001,-689.87,834,29,318.5,2894
35312375,5161,4456,37.9418809,-122.665072,62.943,317.55,7626.7,93825.0,16.001,-689.87,834,29,317.27,2894
35318059,5162,4456,37.9418538,-122.665072,62.866,316.81,7623.7,94041.0,16.001,-689.87,834,29,316.04,2894
35323742,5163,4456,37.9418268,-122.665072,62.789,315.95,7620.7,94437.0,16.001,-689.87,834,29,314.81,2894
35329423,5164,4455,37.9417998,-122.665107,62.681,314.38,7616.4,94842.0,16.001,-689.87,834,29,313.07,2894
35335105,5165,4455,37.9417728,-122.665107,62.604,313.47,7613.4,95742.0,16.001,-689.87,834,29,311.84,2894
35340786,5166,4455,37.9417458,-122.665107,62.528,312.86,7610.4,96075.0,16.001,-689.87,834,29,310.62,2894
35346465,5167,4454,37.9417188,-122.665141,62.42,311.39,7606.2,96399.0,12.279,-455.87,834,29,310.61,2895
35352143,5168,4454,37.9416918,-122.665141,62.344,310.46,7603.2,96885.0,12.279,-455.87,834,29,309.68,2895
35357819,5169,4453,37.9416648,-122.665176,62.236,309.07,7599.0,97020.0,12.279,-455.87,834,29,308.35,2895
35363493,5170,4452,37.9416379,-122.66521,62.128,307.5,7594.7,97047.0,12.279,-455.87,834,29,307.03,2895
35369166,5171,4451,37.941611,-122.665244,62.021,306.26,7590.5,97335.0,12.279,-455.87,834,29,305.71,2895
35374839,5172,4451,37.9415839,-122.665244,61.945,305.34,7587.5,98712.0,12.279,-455.87,834,29,304.78,2895
35380511,5173,4450,37.941557,-122.665279,61.838,304.22,7583.2,98793.0,12.279,-455.87,834,29,303.46,2895
35386182,5174,4449,37.94153,-122.665313,61.731,303.21,7579.0,98910.0,12.279,-455.87,834,29,302.15,2895
35391852,5175,4449,37.941503,-122.665313,61.655,302.7,7576.0,98973.0,12.279,-455.87,834,29,301.22,2895
35397520,5176,4449,37.941476,-122.665313,61.58,301.56,7573.0,99351.0,12.279,-455.87,834,29,300.29,2895
35403186,5177,4448,37.941449,-122.665347,61.473,299.75,7568.7,99531.0,12.279,-455.87,834,29,298.98,2895
35408850,5178,4447,37.9414221,-122.665382,61.366,297.57,7564.5,99765.0,12.279,-455.87,834,29,297.67,2895
35414513,5179,4446,37.9413951,-122.665416,61.259,295.71,7560.3,105270.0,12.279,-455.87,834,29,296.36,2895
35420174,5180,4445,37.9413682,-122.66545,61.155,294.12,7556.0,105680.0,12.279,-455.87,834,29,295.07,2895
35425835,5181,4445,37.9413412,-122.66545,61.081,293.09,7553.0,106180.0,12.279,-455.87,834,29,294.16,2895
