BasinID,Lh_median,Lh_16th,Lh_84th,S_median,S_16th,S_84th,CHT_median,CHT_16th,CHT_84th,Ksn_Median,Ksn_16th,Ksn_84th
0,131.122,73.72624,222.09088,0.225949,0.14433004,0.36506612,-0.00713614,-0.016590868,-0.0023760584,nan,nan,nan
1,106.952,65.52022,170.77988,0.195061,0.1121834,0.30769072,-0.00571539,-0.013750376,-0.0018944712,nan,nan,nan
2,125.753,61.599344,191.16704,0.207057,0.13670216,0.28382932,-0.00531439,-0.01303948,-0.0019022868,nan,nan,nan
3,113.974,65.398164,175.64504,0.18753,0.11813136,0.2993566,-0.00594969,-0.017470656,-0.0019996408,nan,nan,nan
4,127.899,67.917408,208.08832,0.2212995,0.11129392,0.35058376,-0.00533219,-0.0117973,-0.0017788248,nan,nan,nan
5,98.5377,61.223548,160.9982,0.199217,0.12781836,0.39214312,-0.0058853,-0.013396828,-0.0020449292,nan,nan,nan
6,106.6345,61.307752,168.54824,0.157353,0.079776088,0.30227032,-0.005634325,-0.012049732,-0.0016107912,nan,nan,nan
7,103.507,56.79464,174.6326,0.225448,0.11145244,0.42374308,-0.0066568,-0.016143336,-0.0019914064,nan,nan,nan
8,100.651,50.885028,169.26228,0.267294,0.13962176,0.41734888,-0.00771768,-0.02011574,-0.0024680184,nan,nan,nan
9,96.7625,57.64828,152.2726,0.265183,0.107873,0.414457,-0.00683718,-0.02080058,-0.002187304,nan,nan,nan
10,85.0253,48.052544,141.17456,0.258516,0.1210598,0.35175408,-0.00854494,-0.02047154,-0.0027718136,nan,nan,nan
11,97.1532,56.51938,160.9558,0.255848,0.1601014,0.4369506,-0.0072115,-0.02063152,-0.002458382,nan,nan,nan
12,109.316,58.621588,184.834,0.264499,0.16771792,0.43157008,-0.00808058,-0.020735464,-0.002604514,nan,nan,nan
13,108.536,52.966388,219.1294,0.158476,0.10521476,0.22057448,-0.00494503,-0.01265132,-0.0015755708,nan,nan,nan
14,111.785,59.308152,188.20212,0.272174,0.12964544,0.4314794,-0.00711027,-0.0184936,-0.0022902848,nan,nan,nan
15,106.88,54.103504,176.76276,0.311099,0.15318344,0.4836194,-0.009984635,-0.024612364,-0.003131582,nan,nan,nan
16,111.732,59.121376,218.20688,0.280761,0.18525936,0.4297988,-0.0121549,-0.0273379,-0.0037170012,nan,nan,nan
17,98.19035,52.9617,174.89,0.3159115,0.202423,0.465716,-0.01414595,-0.0297664,-0.00507188,nan,nan,nan
18,88.7818,46.1695,152.52364,0.2766715,0.17909292,0.4939284,-0.0161571,-0.033434572,-0.00539268,nan,nan,nan
19,85.943,44.4196,151.159,0.360995,0.146618,0.567009,-0.0156283,-0.0320243,-0.00504921,nan,nan,nan
20,73.03695,37.450448,121.0098,0.2964165,0.14070592,0.43283824,-0.01724635,-0.03716286,-0.0056177524,nan,nan,nan
21,95.86755,53.421864,190.34616,0.269636,0.1522212,0.43843012,-0.01181795,-0.03006548,-0.0034080868,nan,nan,nan
22,75.7425,36.946684,138.31632,0.3507645,0.18793932,0.5421874,-0.02153885,-0.048801704,-0.006354044,nan,nan,nan
23,79.7631,44.385792,147.75096,0.330129,0.21444236,0.47776308,-0.0209332,-0.043838816,-0.00688784,nan,nan,nan
24,78.4399,39.983092,148.19388,0.350492,0.17461088,0.51547064,-0.0211031,-0.044222504,-0.0072607844,nan,nan,nan
25,90.7696,59.604648,144.32264,0.477427,0.24033004,0.5929786,-0.0230917,-0.042541368,-0.0074628448,nan,nan,nan
26,93.8938,57.454492,156.33116,0.392578,0.2469688,0.56384572,-0.0174862,-0.03638608,-0.0060562956,nan,nan,nan
27,89.80215,49.302036,167.6884,0.38101,0.2524548,0.52814976,-0.0181925,-0.041572428,-0.0056433948,nan,nan,nan
28,103.602,62.873316,167.15144,0.4291995,0.27037116,0.6000802,-0.01893225,-0.040723328,-0.0066651384,nan,nan,nan
29,89.9777,58.1183,159.413,0.4483375,0.310203,0.56791,-0.0235192,-0.045104,-0.00879707,nan,nan,nan
30,96.0994,54.106524,165.63068,0.400687,0.27499408,0.52533976,-0.0181546,-0.039656756,-0.0063302064,nan,nan,nan
31,96.8837,59.476924,167.72048,0.4451475,0.31996936,0.56930508,-0.01995845,-0.043169056,-0.0068192492,nan,nan,nan
32,100.052,62.607896,167.74356,0.434569,0.28002528,0.56008268,-0.0187647,-0.039722404,-0.0061231768,nan,nan,nan
33,100.238,60.1505,196.65444,0.468001,0.33546308,0.60427472,-0.020658,-0.040264396,-0.0073666476,nan,nan,nan
34,103.636,56.86836,169.5786,0.524753,0.3852958,0.6348202,-0.0233728,-0.04511636,-0.008818874,nan,nan,nan
35,81.6377,44.462452,149.84908,0.415061,0.23545908,0.59947256,-0.0211505,-0.039929464,-0.008202526,nan,nan,nan
36,80.9609,47.242376,126.17492,0.40396,0.25146664,0.55198108,-0.0218025,-0.042992072,-0.0075273224,nan,nan,nan
37,94.7618,55.262176,141.64648,0.4606955,0.30395144,0.59603304,-0.02108605,-0.038194956,-0.0090803196,nan,nan,nan
38,95.93865,57.770868,161.19352,0.3857695,0.2793854,0.51147252,-0.0163051,-0.032424172,-0.0054769548,nan,nan,nan
39,94.2986,44.480096,180.6822,0.263801,0.21239284,0.30933796,-0.0169013,-0.031639296,-0.0058880212,nan,nan,nan
40,106.471,64.488716,187.27884,0.376636,0.25040496,0.51158876,-0.0146091,-0.030208616,-0.0049155724,nan,nan,nan
